LTPT	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	Yes	No
Massilimicrobiota	1	4	0	7	1	5	9	0	0	1	1	18	0	0	0	6	3	0	0	7	1	37	0	1	0	9	0	0	2	0	6	4	25	2	5	3	1	2	6	0	5	0	8	81	8	46	0	0	0	0	3	5	0	4	7	1	1	12	23	4	0	52	16	0	0
Megasphaera	66	0	1	0	2	9	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
Monoglobus	10	0	16	0	0	1	14	5	2	19	0	0	6	27	2	0	0	0	0	0	0	0	3	0	13	0	0	0	0	0	6	22	0	0	0	8	8	1	0	12	19	0	9	0	0	0	0	0	0	6	8	0	1	0	0	0	11	0	0	5	0	0	0	1	0
Mordavella	1	0	0	21	0	1	19	0	6	1	0	0	0	1	0	0	2	7	0	2	0	0	2	0	0	0	0	0	8	0	0	0	2	0	0	4	0	13	0	35	0	0	0	0	5	6	0	2	0	0	1	0	0	3	10	0	0	9	29	0	0	16	2	0	0
Odoribacter	0	0	0	3	0	1	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	0	1	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Oscillibacter	11	0	2	25	0	25	0	0	42	0	1	0	0	0	0	63	0	0	0	18	2	0	11	2	0	0	7	1	0	0	0	0	0	0	6	0	1	5	0	38	1	0	8	0	4	0	0	0	0	0	8	0	0	8	4	1	0	1	0	5	0	0	0	3	0
Parabacteroides	4	9	9	43	0	8	3	3	18	0	0	0	29	7	0	1	20	0	0	0	0	0	15	8	5	1	8	0	14	18	11	0	0	3	0	0	6	14	7	0	18	65	11	0	55	0	1	0	164	0	12	1	0	47	9	6	54	1	0	11	10	6	1	3	0
Parasutterella	0	0	7	0	0	0	0	3	6	0	0	0	0	3	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	32	2	10	0	0	0	0	0	15	20	0	10	1	2	1	0	0
Prevotella	0	0	0	1	0	30	0	0	0	0	0	0	0	32	0	1	0	0	0	0	0	0	39	0	0	0	0	0	0	394	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	209	0	0	0	0	1	0	0	2	0
Pseudoflavonifractor	2	0	1	6	0	5	0	0	12	0	0	0	1	0	0	3	3	0	0	5	0	0	1	6	0	0	2	0	0	0	0	0	0	3	3	0	0	5	0	3	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	3	8	0	0	1	0	0
Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Robinsoniella	33	4	48	40	69	0	6	33	8	19	128	3	36	0	3	143	45	64	2	2	39	106	0	42	91	148	89	88	28	0	75	0	9	33	6	114	3	0	86	5	1	14	37	122	167	1	34	174	53	66	9	275	180	0	7	1	131	2	149	7	1	123	101	0	1
Romboutsia	5	29	1	4	8	9	1	16	11	0	0	1	0	21	3	3	1	22	21	0	1	5	16	5	4	15	1	16	10	0	0	25	4	0	0	24	6	1	5	6	1	0	1	0	8	0	2	5	11	10	0	0	0	9	3	0	2	1	2	9	1	7	10	1	12
Roseburia	301	183	63	5	323	53	7	271	85	14	3	4	15	25	45	61	149	81	0	62	121	1	42	31	40	6	24	26	37	2	251	151	22	11	15	13	21	14	3	25	66	1	9	134	3	18	356	35	68	85	60	4	1	158	20	115	14	68	0	19	111	13	4	9	58
Rothia	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
Ruminococcus	0	45	0	4	43	167	129	76	372	18	83	249	0	356	46	6	2	1	0	343	0	0	259	83	0	0	160	133	12	0	1	41	43	0	14	175	268	11	0	3	331	0	67	0	0	0	0	0	0	335	215	303	0	15	7	338	0	49	0	235	0	246	320	0	0
Ruthenibacterium	1	1	2	4	1	0	2	0	7	1	0	2	0	2	0	23	0	6	0	2	4	0	18	1	1	0	1	1	0	0	2	1	0	2	1	0	0	24	0	9	2	0	1	7	0	36	1	2	0	11	0	8	7	2	14	1	0	1	6	12	1	30	6	0	0
Schaalia	2	11	4	3	5	0	7	1	0	8	0	3	3	6	4	3	0	3	0	0	4	1	6	0	4	8	9	5	1	6	14	3	0	11	5	3	3	0	4	8	3	0	3	10	3	3	11	28	1	8	3	5	1	6	20	5	10	3	10	2	0	4	1	5	2
Solobacterium	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	2	0	0	0	0	1	1	2	0	1	0	0	1	2	0	1	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	0	1	1	1	0	0
Streptococcus	25	112	345	23	151	239	85	31	24	203	172	15	182	43	130	481	1	64	2	21	57	10	54	459	532	281	135	45	173	507	393	175	216	104	573	320	50	6	373	64	156	1317	46	387	62	18	350	197	25	131	95	116	5	32	74	32	145	102	4	51	198	46	10	242	235
Terrisporobacter	4	0	0	1	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10	0	1	1	0	0	0	0	28	0	0	0	0	0	1	1	0	0	0	0	0	21	2	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2
Turicibacter	2	10	1	4	3	1	0	0	1	2	0	0	0	0	0	5	1	0	2	0	0	0	1	1	3	1	0	4	0	2	2	0	0	0	0	0	2	6	0	1	1	0	0	0	4	11	0	4	0	0	0	0	0	0	2	1	2	0	8	1	0	0	0	0	2
Veillonella	1	4	35	0	3	0	29	3	0	41	129	0	62	0	31	0	111	103	0	2	0	126	0	16	5	31	35	121	64	1	4	1	3	0	15	0	1	0	44	0	24	138	1	1	82	10	11	11	116	1	101	68	36	80	10	0	66	0	40	37	117	41	1	4	48
